chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1635710696,2021-10-31T20:04:56Z,VE7BVU-1,VE7BVU-1,78(19/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710707,2021-10-31T20:05:07Z,VE7BVU-1,VE7BVU-1,78(19/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710717,2021-10-31T20:05:17Z,VE7BVU-1,VE7BVU-1,75(19/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710727,2021-10-31T20:05:27Z,VE7BVU-1,VE7BVU-1,76(19/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710737,2021-10-31T20:05:37Z,VE7BVU-1,VE7BVU-1,81(20/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710747,2021-10-31T20:05:47Z,VE7BVU-1,VE7BVU-1,74(19/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710757,2021-10-31T20:05:57Z,VE7BVU-1,VE7BVU-1,74(19/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710767,2021-10-31T20:06:07Z,VE7BVU-1,VE7BVU-1,75(20/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710777,2021-10-31T20:06:17Z,VE7BVU-1,VE7BVU-1,78(20/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710787,2021-10-31T20:06:27Z,VE7BVU-1,VE7BVU-1,77(19/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710797,2021-10-31T20:06:37Z,VE7BVU-1,VE7BVU-1,78(20/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
