Datapoint_ID,Latitude,Longitude,Altitude
1,49.20708221544342,-123.1003974525236,15.251866430122773
2,49.20708221544342,-123.10039220216001,14.860814506658599
3,49.20708221544342,-123.10039220216001,14.860814506658599
4,49.207082,-123.100392,14.874239977391154
5,49.20708221544342,-123.10039220216001,14.860814506658599
6,49.20708221544342,-123.10039220216001,14.860814506658599
7,49.20708221544342,-123.10039220216001,14.860814506658599
8,49.207082,-123.100392,14.874239977391154
9,49.20708221544342,-123.10039220216001,14.860814506658599
10,49.20708221544342,-123.10039220216001,14.860814506658599
11,49.20708221544342,-123.10039220216001,14.860814506658599
12,49.207082,-123.100392,14.874239977391154
13,49.20708221544342,-123.10039220216001,14.860814506658599
14,49.20708221544342,-123.10039220216001,14.860814506658599
15,49.20707696507983,-123.10039220216001,14.59597529296326
16,49.207077,-123.100392,13.929359978827373
17,49.20707696507983,-123.10037645106924,13.367597861791896
18,49.20708221544342,-123.10037645106924,12.716287373062238
19,49.20708221544342,-123.10036595034205,12.169436256592174
20,49.207082,-123.100366,11.795759982070445
21,49.20708221544342,-123.10036595034205,11.53033641998203
22,49.20708221544342,-123.10036595034205,11.234703078588632
23,49.20708746580701,-123.10036595034205,10.581078905285368
24,49.207087,-123.100366,10.302239984340593
25,49.20708746580701,-123.10036595034205,10.309784157380555
26,49.20708746580701,-123.10036595034205,10.309784157380555
27,49.20708746580701,-123.10036595034205,10.309784157380555
28,49.207087,-123.100366,10.302239984340593
29,49.20708746580701,-123.10036595034205,10.309784157380555
30,49.20708746580701,-123.10036595034205,10.309784157380555
31,49.20708746580701,-123.10036595034205,10.309784157380555
32,49.207087,-123.100366,10.302239984340593
33,49.20708746580701,-123.10036595034205,10.309784157380555
34,49.20708746580701,-123.10036595034205,10.309784157380555
35,49.20708746580701,-123.10036595034205,10.309784157380555
36,49.207087,-123.100366,10.302239984340593
37,49.20708746580701,-123.10036595034205,10.309784157380555
38,49.20708221544342,-123.10036595034205,10.309784157380555
39,49.20708221544342,-123.10036595034205,10.02539451227466
40,49.207082,-123.100366,9.662159985313517
