2021-11-11 17:18:42,2021-11-11 17:18:42,49.07755,-122.90556,,,1728.93,"5_Pu/H*&5_N\"/H+%5_K4/H-&P&>P4/PD*!"
2021-11-11 17:19:43,2021-11-11 17:19:43,49.08092,-122.89935,35,,1906.76,"5_E:/H3R5_Ap/H6Y5_=&/H9\"P_!Pm*Px*!"
2021-11-11 17:21:43,2021-11-11 17:21:43,49.08796,-122.88626,32,,2210.59,"5_&t/HQx5_#8/HT)5^{\"/HWgQ\\!Qd!Qk*!"
2021-11-11 17:26:43,2021-11-11 17:26:43,49.10241,-122.86008,33,,2895.01,"5^B\"/I*B5^?9/I-S5^=f/I0\'S1!S7!S=!*"
2021-11-11 17:29:43,2021-11-11 17:29:43,49.10889,-122.83201,46,,3289.91,"5^&t/I_+5^$H/Id]5^\"6/Ij/St!Sy!T#!!"
2021-11-11 17:31:43,2021-11-11 17:31:43,49.11178,-122.81030,48,,3570.76,"5]sP/J0&5]r\"/J6m5]pX/J<jTA!TF!TL!!"
2021-11-11 17:39:43,2021-11-11 17:39:43,49.11840,-122.66612,90,,4565.53,"5]S\"/M>L5]Su/MH85]S*/MSyUg!Uk!Un!!"
2021-11-11 17:42:44,2021-11-11 17:42:44,49.11511,-122.60236,95,,4975.11,"5]]V/Nfr5]_y/NqI5]`\'/O\"/V6!V9!V=!!"
2021-11-11 18:07:45,2021-11-11 18:07:45,49.06617,-121.90327,147,,8584.03,"5_hF/^[\\5_mF/^m\"5_rI/_#[Y9!Y<!Y>!!"
2021-11-11 18:08:45,2021-11-11 18:08:45,49.06085,-121.86883,155,,8739.78,"5`\"e/_GX5`(O/_Yc5`-v/_k-YC!YE!YH!!"
